Day,Species,Counts,Dilution,Antibiotic,Replicate,Initial
6,Ca,0,6,Kan,3,Lp
6,Lp,55,4,Kan,1,Ca
6,Lp,22,4,Kan,2,Ca
6,Lp,5.4,4,Kan,3,Ca
6,Lp,31,5,Kan,1,Lp
6,Lp,30,5,Kan,2,Lp
6,Lp,31,5,Kan,3,Lp
6,Ca,0,6,Tet,1,Ca
6,Ca,0,6,Tet,2,Ca
6,Ca,0,6,Tet,3,Ca
6,Ca,0,6,Tet,1,Lp
6,Ca,0,6,Tet,2,Lp
6,Ca,0,6,Tet,3,Lp
6,Lp,33,5,Tet,1,Ca
6,Lp,23,5,Tet,2,Ca
6,Lp,16,5,Tet,3,Ca
6,Lp,17,5,Tet,1,Lp
6,Lp,19,5,Tet,2,Lp
6,Lp,26,5,Tet,3,Lp
6,Ca,9,6,Ery,1,Ca
6,Lp,40,2,Ery,1,Ca
6,Ca,2,6,Ery,1,Lp
6,Lp,12,2,Ery,1,Lp
6,Ca,5,6,Ery,2,Ca
6,Lp,45,2,Ery,2,Ca
6,Ca,6,6,Ery,2,Lp
6,Lp,23,2,Ery,2,Lp
6,Ca,6,6,Ery,3,Ca
6,Lp,48,2,Ery,3,Ca
6,Ca,4,6,Ery,3,Lp
6,Lp,15,2,Ery,3,Lp
7,Ca,2,6,Amp,1,Ca
7,Ca,7,6,Amp,2,Ca
7,Ca,6,6,Amp,3,Ca
7,Ca,6,6,Amp,1,Lp
7,Ca,16,6,Amp,2,Lp
7,Ca,6,6,Amp,3,Lp
7,Lp,6,3,Amp,1,Ca
7,Lp,4,3,Amp,2,Ca
7,Lp,5,3,Amp,3,Ca
7,Lp,19,2,Amp,1,Lp
7,Lp,23,2,Amp,2,Lp
7,Lp,20,2,Amp,3,Lp
7,Ca,12,6,Car,1,Ca
7,Ca,6,6,Car,2,Ca
7,Ca,10,6,Car,3,Ca
7,Ca,0,6,Car,1,Lp
7,Ca,0,6,Car,2,Lp
7,Ca,0,6,Car,3,Lp
7,Lp,7,3,Car,1,Ca
7,Lp,5,3,Car,2,Ca
7,Lp,4,3,Car,3,Ca
7,Lp,17,5,Car,1,Lp
7,Lp,11,5,Car,2,Lp
7,Lp,15,5,Car,3,Lp
