"","Concentration","Well","Replicate","Slope","Intercept","Rsquare"
"274","col_conc","H8","R1","0.344134074884735","-5.23561199033766","0.995984943635779"
"275","col_conc","H8","R2","0.319926342394426","-5.32594474673967","0.997381088265263"
"276","col_conc","H8","R3","0.315522019851732","-5.32231838463583","0.99923442738454"
"277","col_conc","H9","R1","0.383477861735325","-5.32569817612533","0.997693325426414"
"278","col_conc","H9","R2","0.351111614497884","-5.39175479148473","0.998288165075276"
"279","col_conc","H9","R3","0.419597564160838","-5.97183204504124","0.997629275923158"
"280","col_conc","H10","R1","0.388721807514851","-5.18834754254806","0.996408557504321"
"281","col_conc","H10","R2","0.349615202264843","-5.26923981310673","0.999017890904261"
"282","col_conc","H10","R3","0.407973138535278","-5.76110891032959","0.99854795786542"
"283","col_conc","H11","R1","0.42890039142216","-5.45140176744884","0.997107386631443"
"284","col_conc","H11","R2","0.350408058870722","-5.20293622788821","0.999328268674801"
"285","col_conc","H11","R3","0.477914892331481","-6.22470485981406","0.995958716588263"
"286","col_conc","H12","R1","0.431716903909987","-5.38093181598977","0.997419181068445"
"287","col_conc","H12","R2","0.396319566011536","-5.42995003052675","0.998290341269433"
"288","col_conc","H12","R3","0.484473789836441","-6.26881726756868","0.995553992949527"
